

	
		












	
	
TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:54 AM,3.0,-6.0,66,30.63,10.0,SSW,3.5,-,N/A,,Clear,200,2018-01-07 05:54:00<br />
1:54 AM,3.9,-5.1,66,30.63,9.0,Calm,Calm,-,N/A,,Clear,0,2018-01-07 06:54:00<br />
2:54 AM,1.9,-6.0,69,30.65,10.0,NNE,3.5,-,N/A,,Clear,20,2018-01-07 07:54:00<br />
3:54 AM,-0.9,-8.0,72,30.67,10.0,Calm,Calm,-,N/A,,Clear,0,2018-01-07 08:54:00<br />
4:54 AM,-2.0,-6.0,83,30.66,8.0,Calm,Calm,-,N/A,,Clear,0,2018-01-07 09:54:00<br />
5:54 AM,-0.0,-5.1,79,30.67,8.0,Calm,Calm,-,N/A,,Clear,0,2018-01-07 10:54:00<br />
6:54 AM,1.0,-6.0,72,30.70,10.0,Calm,Calm,-,N/A,,Clear,0,2018-01-07 11:54:00<br />
7:54 AM,-0.0,-6.0,76,30.72,10.0,Calm,Calm,-,N/A,,Clear,0,2018-01-07 12:54:00<br />
8:54 AM,8.1,-0.9,67,30.73,10.0,Calm,Calm,-,N/A,,Clear,0,2018-01-07 13:54:00<br />
9:54 AM,14.0,-2.0,49,30.74,10.0,NE,6.9,-,N/A,,Partly Cloudy,40,2018-01-07 14:54:00<br />
10:54 AM,18.0,-2.0,41,30.72,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2018-01-07 15:54:00<br />
11:54 AM,18.0,-0.9,44,30.68,10.0,South,3.5,-,N/A,,Scattered Clouds,170,2018-01-07 16:54:00<br />
12:54 PM,21.0,-2.0,36,30.64,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2018-01-07 17:54:00<br />
1:54 PM,21.9,-0.0,38,30.61,10.0,Variable,3.5,-,N/A,,Mostly Cloudy,0,2018-01-07 18:54:00<br />
2:54 PM,21.9,1.9,42,30.60,10.0,South,8.1,-,N/A,,Mostly Cloudy,180,2018-01-07 19:54:00<br />
3:54 PM,21.9,-0.0,38,30.59,10.0,South,3.5,-,N/A,,Scattered Clouds,190,2018-01-07 20:54:00<br />
4:54 PM,19.9,1.0,44,30.58,10.0,South,5.8,-,N/A,,Mostly Cloudy,190,2018-01-07 21:54:00<br />
5:54 PM,19.0,-0.9,42,30.57,10.0,SSE,4.6,-,N/A,,Scattered Clouds,150,2018-01-07 22:54:00<br />
6:54 PM,15.1,-0.0,51,30.57,10.0,SSE,5.8,-,N/A,,Partly Cloudy,150,2018-01-07 23:54:00<br />
7:54 PM,14.0,-0.0,54,30.55,10.0,SSE,4.6,-,N/A,,Partly Cloudy,160,2018-01-08 00:54:00<br />
8:54 PM,16.0,1.9,54,30.54,10.0,South,6.9,-,N/A,,Mostly Cloudy,190,2018-01-08 01:54:00<br />
9:54 PM,16.0,-0.0,49,30.53,10.0,South,6.9,-,N/A,,Scattered Clouds,190,2018-01-08 02:54:00<br />
10:54 PM,16.0,-0.0,49,30.51,10.0,SSW,8.1,-,N/A,,Partly Cloudy,200,2018-01-08 03:54:00<br />
11:54 PM,16.0,-0.0,49,30.49,10.0,South,6.9,-,N/A,,Clear,190,2018-01-08 04:54:00<br />

	





	

