

	
		












	
	
TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:00 AM,55.0,54.0,96,29.93,10.0,SE,5.8,-,N/A,,Scattered Clouds,130,1990-04-16 04:00:00<br />
1:00 AM,54.0,53.1,97,29.93,8.0,SSE,3.5,-,N/A,,Scattered Clouds,150,1990-04-16 05:00:00<br />
2:00 AM,53.1,53.1,100,29.93,7.0,SSW,3.5,-,N/A,,Scattered Clouds,200,1990-04-16 06:00:00<br />
2:12 AM,-9999,-9999,N/A,29.92,6.0,North,11.5,-,N/A,Fog,Fog,360,1990-04-16 06:12:00<br />
3:00 AM,54.0,54.0,100,29.95,6.0,NNE,6.9,-,N/A,Fog,Fog,20,1990-04-16 07:00:00<br />
3:03 AM,-9999,-9999,N/A,29.93,2.0,NE,6.9,-,N/A,Fog,Fog,40,1990-04-16 07:03:00<br />
4:00 AM,55.0,55.0,100,29.95,2.0,North,8.1,-,N/A,Fog,Fog,360,1990-04-16 08:00:00<br />
5:00 AM,55.0,53.1,93,29.98,3.0,NNE,11.5,-,N/A,Fog,Fog,20,1990-04-16 09:00:00<br />
6:00 AM,55.0,48.9,80,29.99,7.0,NE,11.5,-,N/A,,Mostly Cloudy,50,1990-04-16 10:00:00<br />
7:00 AM,54.0,48.0,80,30.01,8.0,NE,6.9,-,N/A,,Mostly Cloudy,50,1990-04-16 11:00:00<br />
8:00 AM,53.1,48.9,86,30.04,8.0,NE,6.9,-,N/A,,Scattered Clouds,40,1990-04-16 12:00:00<br />
9:00 AM,60.1,46.0,60,30.05,8.0,NE,8.1,-,N/A,,Scattered Clouds,40,1990-04-16 13:00:00<br />
10:00 AM,63.0,43.0,48,30.05,8.0,ENE,12.7,-,N/A,,Scattered Clouds,60,1990-04-16 14:00:00<br />
11:00 AM,64.0,46.9,54,30.06,8.0,NE,13.8,-,N/A,,Clear,50,1990-04-16 15:00:00<br />
12:00 PM,66.0,46.9,50,30.06,8.0,North,9.2,-,N/A,,Clear,350,1990-04-16 16:00:00<br />
1:00 PM,69.1,50.0,51,30.05,8.0,NNE,8.1,-,N/A,,Clear,30,1990-04-16 17:00:00<br />
2:00 PM,71.1,52.0,51,30.04,8.0,NW,6.9,-,N/A,,Clear,320,1990-04-16 18:00:00<br />
3:00 PM,71.1,52.0,51,30.03,8.0,WNW,4.6,-,N/A,,Scattered Clouds,290,1990-04-16 19:00:00<br />
4:00 PM,71.1,52.0,51,30.01,8.0,West,3.5,-,N/A,,Scattered Clouds,270,1990-04-16 20:00:00<br />
5:00 PM,72.0,52.0,49,29.99,7.0,East,4.6,-,N/A,,Scattered Clouds,100,1990-04-16 21:00:00<br />
6:00 PM,71.1,51.1,49,29.98,7.0,South,8.1,-,N/A,,Scattered Clouds,170,1990-04-16 22:00:00<br />
7:00 PM,66.9,46.0,47,30.00,7.0,South,15.0,-,N/A,,Scattered Clouds,170,1990-04-16 23:00:00<br />
8:00 PM,61.0,46.0,58,30.01,7.0,SSE,13.8,-,N/A,,Scattered Clouds,160,1990-04-17 00:00:00<br />
9:00 PM,57.9,44.1,60,30.02,7.0,SSE,12.7,-,N/A,,Unknown,160,1990-04-17 01:00:00<br />
10:00 PM,57.9,43.0,58,30.04,7.0,SE,10.4,-,N/A,,Mostly Cloudy,140,1990-04-17 02:00:00<br />
11:00 PM,55.0,44.1,67,30.03,7.0,SSE,9.2,-,N/A,,Scattered Clouds,160,1990-04-17 03:00:00<br />

	





	

